ticket_text,category,priority
How many users can I add under the monthly plan Not blocking me completely but it's annoying.,Product Inquiry,Medium
"Getting a 500 server error on the notifications page This is blocking my entire team from working, please help ASAP.",Technical Issue,High
I need to change the email linked to my account Would appreciate a fix in the next few days.,Account Access,Medium
Does the monthly plan include chat support access Would appreciate a fix in the next few days.,Product Inquiry,Medium
My account got suspended and I do not know why This has been broken for 3 days and no one has responded.,Account Access,High
Getting a 500 server error on the billing portal page I have a deadline today and this is critical.,Technical Issue,High
I would love to see offline support for dashboard Not blocking me completely but it's annoying.,Feature Request,Medium
"What integrations are supported with dashboard Low priority, just wanted to check.",Product Inquiry,Low
"Does the Premium plan include chat support access Low priority, just wanted to check.",Product Inquiry,Low
"Please consider adding multi-language support to search This is a minor issue, whenever convenient.",Feature Request,Low
"What is the difference between Premium and the free plan Low priority, just wanted to check.",Product Inquiry,Low
Someone else may have accessed my account without permission Not blocking me completely but it's annoying.,Account Access,Medium
"I lost all my data after the dashboard update No rush, just wanted to flag this.",Technical Issue,Low
"I want to update my payment method for Enterprise This is a minor issue, whenever convenient.",Billing,Low
I need a refund for the Enterprise plan I cancelled last week I have a deadline today and this is critical.,Billing,High
I need to change the email linked to my account Not blocking me completely but it's annoying.,Account Access,Medium
I need to change the email linked to my account This is a major issue affecting our production system.,Account Access,High
"I need a refund for the Pro plan I cancelled last week No rush, just wanted to flag this.",Billing,Low
My invoice shows an incorrect amount for Pro This is affecting my work but I have a workaround for now.,Billing,Medium
The website is extremely slow when I access billing portal This is affecting my work but I have a workaround for now.,Technical Issue,Medium
Do you offer a trial for file upload before upgrading Please look into this when you get a chance.,Product Inquiry,Medium
export tool is not loading at all on my device I have a deadline today and this is critical.,Technical Issue,High
"Please consider adding multi-language support to analytics This is a minor issue, whenever convenient.",Feature Request,Low
Can you explain the extra charge on my last monthly invoice I have a deadline today and this is critical.,Billing,High
"A calendar view for export tool would be really useful Just curious about this, not urgent at all.",Feature Request,Low
I would love to see offline support for file upload I have a deadline today and this is critical.,Feature Request,High
The discount code did not apply to my Enterprise purchase I have a deadline today and this is critical.,Billing,High
Do you offer a trial for analytics before upgrading Would appreciate a fix in the next few days.,Product Inquiry,Medium
"A calendar view for notifications would be really useful Just curious about this, not urgent at all.",Feature Request,Low
I need to change the email linked to my account This has been broken for 3 days and no one has responded.,Account Access,High
The export tool button does nothing when I click it Not blocking me completely but it's annoying.,Technical Issue,Medium
"I cannot log into my account, it says password incorrect This is blocking my entire team from working, please help ASAP.",Account Access,High
I need to change the email linked to my account This is a major issue affecting our production system.,Account Access,High
"My account got suspended and I do not know why No rush, just wanted to flag this.",Account Access,Low
Getting a 500 server error on the notifications page This is affecting my work but I have a workaround for now.,Technical Issue,Medium
Do you offer a trial for notifications before upgrading Please look into this when you get a chance.,Product Inquiry,Medium
I need a refund for the Pro plan I cancelled last week Would appreciate a fix in the next few days.,Billing,Medium
"Can you add keyboard shortcuts for search Low priority, just wanted to check.",Feature Request,Low
Can you add keyboard shortcuts for notifications Would appreciate a fix in the next few days.,Feature Request,Medium
The app keeps crashing every time I open the mobile app section This is a major issue affecting our production system.,Technical Issue,High
I am getting an error message when I try to use notifications This is a major issue affecting our production system.,Technical Issue,High
"Requesting a bulk upload option in billing portal Just curious about this, not urgent at all.",Feature Request,Low
chat support is not loading at all on my device This is a major issue affecting our production system.,Technical Issue,High
dashboard is not loading at all on my device This is affecting my work but I have a workaround for now.,Technical Issue,Medium
Does the Basic plan include export tool access Not blocking me completely but it's annoying.,Product Inquiry,Medium
Can I use dashboard on multiple devices Not blocking me completely but it's annoying.,Product Inquiry,Medium
The discount code did not apply to my Basic purchase Please look into this when you get a chance.,Billing,Medium
"I am getting an error message when I try to use chat support This is blocking my entire team from working, please help ASAP.",Technical Issue,High
Can you explain the extra charge on my last Enterprise invoice This is affecting my work but I have a workaround for now.,Billing,Medium
I would love to see offline support for notifications Not blocking me completely but it's annoying.,Feature Request,Medium
My account got suspended and I do not know why Please look into this when you get a chance.,Account Access,Medium
Getting a 500 server error on the chat support page This is affecting my work but I have a workaround for now.,Technical Issue,Medium
I am getting an error message when I try to use billing portal This has been broken for 3 days and no one has responded.,Technical Issue,High
Do you offer a trial for notifications before upgrading This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
"Someone else may have accessed my account without permission This is blocking my entire team from working, please help ASAP.",Account Access,High
I need to change the email linked to my account This is affecting my work but I have a workaround for now.,Account Access,Medium
"Does the annual plan include mobile app access Just curious about this, not urgent at all.",Product Inquiry,Low
The app keeps crashing every time I open the reporting section Would appreciate a fix in the next few days.,Technical Issue,Medium
"Does the Enterprise plan include chat support access Just curious about this, not urgent at all.",Product Inquiry,Low
"Requesting a bulk upload option in notifications This is urgent, I need this fixed immediately.",Feature Request,High
Do you offer a trial for export tool before upgrading Please look into this when you get a chance.,Product Inquiry,Medium
"Getting a 500 server error on the export tool page Just curious about this, not urgent at all.",Technical Issue,Low
"It would be great if notifications supported dark mode Low priority, just wanted to check.",Feature Request,Low
I am locked out of my account after too many login attempts Not blocking me completely but it's annoying.,Account Access,Medium
Why did my card get billed for Premium when I already cancelled Please look into this when you get a chance.,Billing,Medium
notifications is not loading at all on my device This has been broken for 3 days and no one has responded.,Technical Issue,High
It would be great if billing portal supported dark mode Would appreciate a fix in the next few days.,Feature Request,Medium
"The discount code did not apply to my Enterprise purchase No rush, just wanted to flag this.",Billing,Low
I would love to see offline support for dashboard Would appreciate a fix in the next few days.,Feature Request,Medium
"A calendar view for notifications would be really useful This is a minor issue, whenever convenient.",Feature Request,Low
My account got suspended and I do not know why This has been broken for 3 days and no one has responded.,Account Access,High
"I was charged twice for my monthly subscription this month This is a minor issue, whenever convenient.",Billing,Low
"My account got suspended and I do not know why This is blocking my entire team from working, please help ASAP.",Account Access,High
Why did my card get billed for Basic when I already cancelled Would appreciate a fix in the next few days.,Billing,Medium
"Please consider adding multi-language support to analytics Low priority, just wanted to check.",Feature Request,Low
The website is extremely slow when I access reporting This is a major issue affecting our production system.,Technical Issue,High
Please consider adding multi-language support to billing portal Not blocking me completely but it's annoying.,Feature Request,Medium
I need to change the email linked to my account Would appreciate a fix in the next few days.,Account Access,Medium
"I need to change the email linked to my account Low priority, just wanted to check.",Account Access,Low
The website is extremely slow when I access notifications This is a major issue affecting our production system.,Technical Issue,High
"I would love to see offline support for file upload This is a minor issue, whenever convenient.",Feature Request,Low
I would love to see offline support for analytics This has been broken for 3 days and no one has responded.,Feature Request,High
"Is there a student discount available for monthly No rush, just wanted to flag this.",Product Inquiry,Low
"I lost all my data after the file upload update Low priority, just wanted to check.",Technical Issue,Low
Can you explain the extra charge on my last Enterprise invoice Not blocking me completely but it's annoying.,Billing,Medium
The app keeps crashing every time I open the chat support section This has been broken for 3 days and no one has responded.,Technical Issue,High
The discount code did not apply to my Premium purchase Would appreciate a fix in the next few days.,Billing,Medium
"What integrations are supported with dashboard This is a minor issue, whenever convenient.",Product Inquiry,Low
"I am locked out of my account after too many login attempts This is urgent, I need this fixed immediately.",Account Access,High
"Why did my card get billed for Pro when I already cancelled No rush, just wanted to flag this.",Billing,Low
I need to change the email linked to my account This has been broken for 3 days and no one has responded.,Account Access,High
I am getting an error message when I try to use analytics This is affecting my work but I have a workaround for now.,Technical Issue,Medium
"I am getting an error message when I try to use export tool This is a minor issue, whenever convenient.",Technical Issue,Low
"How many users can I add under the Pro plan Just curious about this, not urgent at all.",Product Inquiry,Low
"Can I use dashboard on multiple devices Low priority, just wanted to check.",Product Inquiry,Low
Someone else may have accessed my account without permission I have a deadline today and this is critical.,Account Access,High
"Can you add keyboard shortcuts for analytics Low priority, just wanted to check.",Feature Request,Low
I am locked out of my account after too many login attempts This has been broken for 3 days and no one has responded.,Account Access,High
"Can you add keyboard shortcuts for chat support Just curious about this, not urgent at all.",Feature Request,Low
The discount code did not apply to my monthly purchase This is a major issue affecting our production system.,Billing,High
"Can you explain the extra charge on my last monthly invoice Just curious about this, not urgent at all.",Billing,Low
I lost all my data after the mobile app update Would appreciate a fix in the next few days.,Technical Issue,Medium
Getting a 500 server error on the dashboard page This has been broken for 3 days and no one has responded.,Technical Issue,High
Can you explain the extra charge on my last Premium invoice I have a deadline today and this is critical.,Billing,High
Someone else may have accessed my account without permission This is a major issue affecting our production system.,Account Access,High
My account got suspended and I do not know why Would appreciate a fix in the next few days.,Account Access,Medium
"What integrations are supported with file upload Low priority, just wanted to check.",Product Inquiry,Low
"My invoice shows an incorrect amount for Pro Just curious about this, not urgent at all.",Billing,Low
"The discount code did not apply to my Enterprise purchase This is urgent, I need this fixed immediately.",Billing,High
"Can I use chat support on multiple devices Just curious about this, not urgent at all.",Product Inquiry,Low
I want to update my payment method for Pro This is a major issue affecting our production system.,Billing,High
My account got suspended and I do not know why Not blocking me completely but it's annoying.,Account Access,Medium
"Someone else may have accessed my account without permission This is urgent, I need this fixed immediately.",Account Access,High
I forgot my password and the reset link is not working This is a major issue affecting our production system.,Account Access,High
The website is extremely slow when I access file upload Not blocking me completely but it's annoying.,Technical Issue,Medium
"Please consider adding multi-language support to reporting No rush, just wanted to flag this.",Feature Request,Low
How many users can I add under the Enterprise plan I have a deadline today and this is critical.,Product Inquiry,High
"The website is extremely slow when I access mobile app No rush, just wanted to flag this.",Technical Issue,Low
My account got suspended and I do not know why I have a deadline today and this is critical.,Account Access,High
The app keeps crashing every time I open the billing portal section Please look into this when you get a chance.,Technical Issue,Medium
"The discount code did not apply to my Premium purchase This is a minor issue, whenever convenient.",Billing,Low
The discount code did not apply to my annual purchase This is affecting my work but I have a workaround for now.,Billing,Medium
"I need to change the email linked to my account This is blocking my entire team from working, please help ASAP.",Account Access,High
"I lost all my data after the reporting update This is urgent, I need this fixed immediately.",Technical Issue,High
The app keeps crashing every time I open the mobile app section Please look into this when you get a chance.,Technical Issue,Medium
reporting is not loading at all on my device Please look into this when you get a chance.,Technical Issue,Medium
Why did my card get billed for Enterprise when I already cancelled Please look into this when you get a chance.,Billing,Medium
How many users can I add under the Pro plan This is a major issue affecting our production system.,Product Inquiry,High
I forgot my password and the reset link is not working This has been broken for 3 days and no one has responded.,Account Access,High
"Is there a student discount available for monthly Low priority, just wanted to check.",Product Inquiry,Low
"I was charged twice for my Premium subscription this month This is blocking my entire team from working, please help ASAP.",Billing,High
My account got suspended and I do not know why Would appreciate a fix in the next few days.,Account Access,Medium
"How many users can I add under the annual plan Low priority, just wanted to check.",Product Inquiry,Low
"The discount code did not apply to my monthly purchase This is a minor issue, whenever convenient.",Billing,Low
Is there a student discount available for Pro Not blocking me completely but it's annoying.,Product Inquiry,Medium
Is there a student discount available for monthly Would appreciate a fix in the next few days.,Product Inquiry,Medium
"The two factor authentication code never arrives This is urgent, I need this fixed immediately.",Account Access,High
"Why did my card get billed for Basic when I already cancelled No rush, just wanted to flag this.",Billing,Low
"Requesting a bulk upload option in file upload Low priority, just wanted to check.",Feature Request,Low
"I need to change the email linked to my account No rush, just wanted to flag this.",Account Access,Low
My account got suspended and I do not know why This is a major issue affecting our production system.,Account Access,High
"I am getting an error message when I try to use notifications This is urgent, I need this fixed immediately.",Technical Issue,High
I need to change the email linked to my account I have a deadline today and this is critical.,Account Access,High
"Please add an export option to search No rush, just wanted to flag this.",Feature Request,Low
Please consider adding multi-language support to chat support I have a deadline today and this is critical.,Feature Request,High
"The two factor authentication code never arrives This is blocking my entire team from working, please help ASAP.",Account Access,High
Please consider adding multi-language support to billing portal Please look into this when you get a chance.,Feature Request,Medium
I want to update my payment method for annual Not blocking me completely but it's annoying.,Billing,Medium
I am locked out of my account after too many login attempts Please look into this when you get a chance.,Account Access,Medium
"My invoice shows an incorrect amount for Pro This is urgent, I need this fixed immediately.",Billing,High
I forgot my password and the reset link is not working This has been broken for 3 days and no one has responded.,Account Access,High
Can I use search on multiple devices Not blocking me completely but it's annoying.,Product Inquiry,Medium
I need a refund for the monthly plan I cancelled last week Would appreciate a fix in the next few days.,Billing,Medium
"My invoice shows an incorrect amount for Enterprise This is blocking my entire team from working, please help ASAP.",Billing,High
"I am locked out of my account after too many login attempts This is urgent, I need this fixed immediately.",Account Access,High
Why did my card get billed for monthly when I already cancelled This has been broken for 3 days and no one has responded.,Billing,High
"Please consider adding multi-language support to search Just curious about this, not urgent at all.",Feature Request,Low
Why did my card get billed for monthly when I already cancelled Not blocking me completely but it's annoying.,Billing,Medium
The discount code did not apply to my Premium purchase Not blocking me completely but it's annoying.,Billing,Medium
Can I use analytics on multiple devices I have a deadline today and this is critical.,Product Inquiry,High
The notifications button does nothing when I click it Would appreciate a fix in the next few days.,Technical Issue,Medium
Why did my card get billed for Basic when I already cancelled Not blocking me completely but it's annoying.,Billing,Medium
"It would be great if chat support supported dark mode This is a minor issue, whenever convenient.",Feature Request,Low
I need to change the email linked to my account Please look into this when you get a chance.,Account Access,Medium
Requesting a bulk upload option in file upload This is affecting my work but I have a workaround for now.,Feature Request,Medium
The app keeps crashing every time I open the chat support section This is a major issue affecting our production system.,Technical Issue,High
The billing portal button does nothing when I click it This has been broken for 3 days and no one has responded.,Technical Issue,High
What integrations are supported with export tool Would appreciate a fix in the next few days.,Product Inquiry,Medium
I am locked out of my account after too many login attempts I have a deadline today and this is critical.,Account Access,High
My account got suspended and I do not know why Would appreciate a fix in the next few days.,Account Access,Medium
Is there a student discount available for Basic Would appreciate a fix in the next few days.,Product Inquiry,Medium
I want to update my payment method for Basic Not blocking me completely but it's annoying.,Billing,Medium
How many users can I add under the annual plan This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
"My account got suspended and I do not know why This is urgent, I need this fixed immediately.",Account Access,High
"Does the Premium plan include billing portal access This is a minor issue, whenever convenient.",Product Inquiry,Low
"My invoice shows an incorrect amount for monthly This is a minor issue, whenever convenient.",Billing,Low
The two factor authentication code never arrives I have a deadline today and this is critical.,Account Access,High
"It would be great if file upload supported dark mode This is urgent, I need this fixed immediately.",Feature Request,High
Please consider adding multi-language support to chat support This is affecting my work but I have a workaround for now.,Feature Request,Medium
"I cannot log into my account, it says password incorrect Just curious about this, not urgent at all.",Account Access,Low
What is the difference between annual and the free plan Not blocking me completely but it's annoying.,Product Inquiry,Medium
I need to change the email linked to my account This has been broken for 3 days and no one has responded.,Account Access,High
Can you add keyboard shortcuts for file upload This is affecting my work but I have a workaround for now.,Feature Request,Medium
"I need to change the email linked to my account This is blocking my entire team from working, please help ASAP.",Account Access,High
The app keeps crashing every time I open the billing portal section Please look into this when you get a chance.,Technical Issue,Medium
I need to change the email linked to my account This is affecting my work but I have a workaround for now.,Account Access,Medium
I am getting an error message when I try to use export tool This is affecting my work but I have a workaround for now.,Technical Issue,Medium
"Does the Enterprise plan include file upload access This is a minor issue, whenever convenient.",Product Inquiry,Low
How many users can I add under the Premium plan This is affecting my work but I have a workaround for now.,Product Inquiry,Medium
I need to change the email linked to my account This is a major issue affecting our production system.,Account Access,High
"Is there a student discount available for Premium Low priority, just wanted to check.",Product Inquiry,Low
The export tool button does nothing when I click it I have a deadline today and this is critical.,Technical Issue,High
I want to update my payment method for Enterprise Please look into this when you get a chance.,Billing,Medium
"A calendar view for chat support would be really useful This is blocking my entire team from working, please help ASAP.",Feature Request,High
I forgot my password and the reset link is not working Please look into this when you get a chance.,Account Access,Medium
"The file upload button does nothing when I click it Low priority, just wanted to check.",Technical Issue,Low
"Why did my card get billed for annual when I already cancelled This is urgent, I need this fixed immediately.",Billing,High
"I am locked out of my account after too many login attempts Just curious about this, not urgent at all.",Account Access,Low
"I am getting an error message when I try to use chat support Low priority, just wanted to check.",Technical Issue,Low
"The notifications button does nothing when I click it This is urgent, I need this fixed immediately.",Technical Issue,High
"I was charged twice for my Premium subscription this month Low priority, just wanted to check.",Billing,Low
The discount code did not apply to my Premium purchase Please look into this when you get a chance.,Billing,Medium
"The website is extremely slow when I access export tool This is urgent, I need this fixed immediately.",Technical Issue,High
"How many users can I add under the annual plan This is a minor issue, whenever convenient.",Product Inquiry,Low
dashboard is not loading at all on my device This is affecting my work but I have a workaround for now.,Technical Issue,Medium
"I would love to see offline support for billing portal Just curious about this, not urgent at all.",Feature Request,Low
"Can you explain the extra charge on my last annual invoice No rush, just wanted to flag this.",Billing,Low
"What integrations are supported with dashboard Just curious about this, not urgent at all.",Product Inquiry,Low
Someone else may have accessed my account without permission Would appreciate a fix in the next few days.,Account Access,Medium
Getting a 500 server error on the billing portal page Would appreciate a fix in the next few days.,Technical Issue,Medium
"The app keeps crashing every time I open the search section This is blocking my entire team from working, please help ASAP.",Technical Issue,High
"Do you offer a trial for reporting before upgrading No rush, just wanted to flag this.",Product Inquiry,Low
"Does the Premium plan include mobile app access This is blocking my entire team from working, please help ASAP.",Product Inquiry,High
I need a refund for the Premium plan I cancelled last week Not blocking me completely but it's annoying.,Billing,Medium
"I cannot log into my account, it says password incorrect This is urgent, I need this fixed immediately.",Account Access,High
The two factor authentication code never arrives This has been broken for 3 days and no one has responded.,Account Access,High
"Is there a student discount available for Premium Low priority, just wanted to check.",Product Inquiry,Low
I need to change the email linked to my account Not blocking me completely but it's annoying.,Account Access,Medium
Why did my card get billed for annual when I already cancelled Would appreciate a fix in the next few days.,Billing,Medium
I was charged twice for my Premium subscription this month Not blocking me completely but it's annoying.,Billing,Medium
Getting a 500 server error on the file upload page I have a deadline today and this is critical.,Technical Issue,High
I would love to see offline support for dashboard This has been broken for 3 days and no one has responded.,Feature Request,High
"My account got suspended and I do not know why This is a minor issue, whenever convenient.",Account Access,Low
Please consider adding multi-language support to dashboard This is affecting my work but I have a workaround for now.,Feature Request,Medium
"The two factor authentication code never arrives This is blocking my entire team from working, please help ASAP.",Account Access,High
"Can I use notifications on multiple devices This is a minor issue, whenever convenient.",Product Inquiry,Low
"Can you add keyboard shortcuts for file upload This is a minor issue, whenever convenient.",Feature Request,Low
I was charged twice for my monthly subscription this month Not blocking me completely but it's annoying.,Billing,Medium
"It would be great if chat support supported dark mode This is a minor issue, whenever convenient.",Feature Request,Low
Can you add keyboard shortcuts for notifications This is affecting my work but I have a workaround for now.,Feature Request,Medium
"Why did my card get billed for Pro when I already cancelled Just curious about this, not urgent at all.",Billing,Low
Someone else may have accessed my account without permission Would appreciate a fix in the next few days.,Account Access,Medium
Getting a 500 server error on the reporting page This is affecting my work but I have a workaround for now.,Technical Issue,Medium
"My invoice shows an incorrect amount for Pro No rush, just wanted to flag this.",Billing,Low
My account got suspended and I do not know why This is a major issue affecting our production system.,Account Access,High
I lost all my data after the billing portal update This has been broken for 3 days and no one has responded.,Technical Issue,High
I would love to see offline support for export tool I have a deadline today and this is critical.,Feature Request,High
Why did my card get billed for Enterprise when I already cancelled This is affecting my work but I have a workaround for now.,Billing,Medium
The website is extremely slow when I access dashboard This is affecting my work but I have a workaround for now.,Technical Issue,Medium
"I am locked out of my account after too many login attempts This is a minor issue, whenever convenient.",Account Access,Low
My account got suspended and I do not know why This is a major issue affecting our production system.,Account Access,High
I am locked out of my account after too many login attempts Please look into this when you get a chance.,Account Access,Medium
"Please consider adding multi-language support to export tool This is a minor issue, whenever convenient.",Feature Request,Low
Getting a 500 server error on the export tool page This is a major issue affecting our production system.,Technical Issue,High
The discount code did not apply to my Basic purchase This is a major issue affecting our production system.,Billing,High
"Someone else may have accessed my account without permission This is urgent, I need this fixed immediately.",Account Access,High
"Do you offer a trial for chat support before upgrading Just curious about this, not urgent at all.",Product Inquiry,Low
What is the difference between monthly and the free plan Please look into this when you get a chance.,Product Inquiry,Medium
My invoice shows an incorrect amount for Enterprise This is affecting my work but I have a workaround for now.,Billing,Medium
"My account got suspended and I do not know why Just curious about this, not urgent at all.",Account Access,Low
I forgot my password and the reset link is not working Please look into this when you get a chance.,Account Access,Medium
"I am locked out of my account after too many login attempts This is blocking my entire team from working, please help ASAP.",Account Access,High
"The app keeps crashing every time I open the chat support section Low priority, just wanted to check.",Technical Issue,Low
"The file upload button does nothing when I click it Just curious about this, not urgent at all.",Technical Issue,Low
"The notifications button does nothing when I click it Low priority, just wanted to check.",Technical Issue,Low
Can I use dashboard on multiple devices This has been broken for 3 days and no one has responded.,Product Inquiry,High
"I would love to see offline support for mobile app No rush, just wanted to flag this.",Feature Request,Low
"I need a refund for the Enterprise plan I cancelled last week Low priority, just wanted to check.",Billing,Low
My account got suspended and I do not know why I have a deadline today and this is critical.,Account Access,High
"I need to change the email linked to my account This is urgent, I need this fixed immediately.",Account Access,High
"Requesting a bulk upload option in file upload No rush, just wanted to flag this.",Feature Request,Low
How many users can I add under the Enterprise plan Please look into this when you get a chance.,Product Inquiry,Medium
The app keeps crashing every time I open the file upload section Would appreciate a fix in the next few days.,Technical Issue,Medium
